TNS Name,ZTF Name,AstroNote / ATel,,,,,Latest update:,28th of October
2018bdi,ZTF19abzwbxy,https://www.astronomerstelegram.org/?read=11613,,,,,,
2018brk,ZTF18abtuzsb,https://www.astronomerstelegram.org/?read=11657,,,,,,
2018elp,ZTF18abklbam,https://www.astronomerstelegram.org/?read=11916,,,,,,
2018evy,ZTF18abmdpwe,https://www.astronomerstelegram.org/?read=11969,,,,,,
2018fmt,ZTF18abqbuaj,https://www.astronomerstelegram.org/?read=12001,,,,,,
2018fpk,ZTF18abqcsdq,https://www.astronomerstelegram.org/?read=12002,,,,,,
2018fzp,ZTF18abthaii,https://www.astronomerstelegram.org/?read=12028,,,,,,
2018ffs,ZTF18ablwafp,https://www.astronomerstelegram.org/?read=12042,,,,,,
2018gjv,ZTF18abvzdvj,https://www.astronomerstelegram.org/?read=12044,,,,,,
2018gjx,ZTF18abwkrbl,https://www.astronomerstelegram.org/?read=12044,,,,,,
2018hwm,ZTF18acurqaw,https://www.astronomerstelegram.org/?read=12191,,,,,,
2018iif,ZTF18acbxskh,https://www.astronomerstelegram.org/?read=12221,,,,,,
2018jfz,ZTF18acrwheu,https://www.astronomerstelegram.org/?read=12257,,,,,,
2018jkb,ZTF18acszayr,https://www.astronomerstelegram.org/?read=12280,,,,,,
2018kzr,ZTF18adaykvg,https://www.astronomerstelegram.org/?read=12342,,,,,,
2018ldu,ZTF18adazblo,https://www.astronomerstelegram.org/?read=12347,Spectra superimposed on blue continuum,,,,,
2019asz,ZTF19aamowaf,https://www.astronomerstelegram.org/?read=12490,,,,,,
2019aqn,ZTF19aakjcxs,https://www.astronomerstelegram.org/?read=12490,,,,,,
2019azh,ZTF18achzddr,https://www.astronomerstelegram.org/?read=12530,,,,,,
2019bgc,ZTF19aalubxw,https://www.astronomerstelegram.org/?read=12563,,,,,,
???,ZTF19aajwogx,https://www.astronomerstelegram.org/?read=12588,,,,,,
2019cqc,ZTF19aamrais,https://www.astronomerstelegram.org/?read=12711,Blue continuum galaxy,,,,,
2019ejp,ZTF19aasekcx,https://www.astronomerstelegram.org/?read=12804,,,,,,
2019gaf,ZTF19aawethv,https://www.astronomerstelegram.org/?read=12828,,,,,,
2019hbt,ZTF19aaydtur,https://www.astronomerstelegram.org/?read=12852,,,,,,
2019fyt,ZTF19aavndxo,https://www.astronomerstelegram.org/?read=12856,Blue continuum galaxy,,,,,
2019hci,ZTF19aaykqsk,https://www.astronomerstelegram.org/?read=12861,,,,,,
2019oop,ZTF19abrtjsf,https://ui.adsabs.harvard.edu/abs/2019TNSAN..82....1B/abstract,,,,,,
2019peb,ZTF19abuilka,https://ui.adsabs.harvard.edu/abs/2019TNSAN..87....1C/abstract,,,,,,
2018lqi,ZTF19acblhej,https://ui.adsabs.harvard.edu/abs/2019TNSAN.107....1C/abstract,,,,,,
2019syx,ZTF19acgfvvi,https://ui.adsabs.harvard.edu/abs/2019TNSAN.109....1C/abstract,,,,,,
2019tpl,ZTF19ackbclh,https://ui.adsabs.harvard.edu/abs/2019TNSAN.121....1C/abstract,,,,,,
2019vqd,ZTF19acvmcdd,https://ui.adsabs.harvard.edu/abs/2019TNSAN.139....1I/abstract,,,,,,
2019wmc,ZTF19acyjzeo,https://ui.adsabs.harvard.edu/abs/2019TNSAN.155....1B/abstract,,,,,,
2020hr,ZTF20aaavvlv,https://ui.adsabs.harvard.edu/abs/2020TNSAN...7....1W/abstract,,,,,,
2020epg,ZTF19abcilax,https://ui.adsabs.harvard.edu/abs/2020TNSAN..65....1P/abstract,,,,,,
2020xqa,ZTF20aclkdlu,https://ui.adsabs.harvard.edu/abs/2020TNSAN.203....1I/abstract,,,,,,
2020xzg,ZTF20acmmfau,https://ui.adsabs.harvard.edu/abs/2020TNSAN.206....1G/abstract,,,,,,
