Source,ZTF,Marshall class,Host,Declination,Magnitude,Spectrum,Light curve,Redshift,Additional notes
AT2018bbv,,SNII, 6dFJ155549.2-685220; a W1=15.30 mag galaxy,,,Two PESSTO spectra. No blue continuum. Spectrum 1 : high noise. Spectrum : broad emission lines,,,no ZTF
AT2018bdi,ZTF19abzwbxy,Other,Possibly associated with 116003058604160763; r=24.34 mag galaxy,6,host : r = 19.15,Blue continuum. No obvious features.,ZTF : https://lasair.roe.ac.uk/object/ZTF19abzwbxy/,Unknown,
AT2018beg,,Varstar,ESO221-G013; a W1=10.07 mag AGN found in the NED_D/LASR catalogues,,,Blue continuum. H absorption?,,Unknown,
AT2018bgt,,Varstar,77282841542116205; an r=20.77 mag galaxy,,,Blue continuum. H emission lines,,Unknown,No obvious extended object in images from PESSTO Marshall
AT2018biy,ZTF19aadhafu,Varstar,SDSS J164705.61-071853.7; an r=23.17 mag galaxy,,,,,,
AT2018brh,,CV,74112412301800192; an r=16.84 mag galaxy,,,,,Unknown,
AT2018bsv,ZTF18aarqliy,Galaxy,Possibly associated with SDSSJ143118.47+211735.2; a 17.29 mag galaxy,,,,,z = 0.106,Does not exist in the ZTF database
AT2018elp,ZTF18abklbam,SNII,LEDA 1647016,,,,,z = 0.03,
AT2018eph,,SNII,The transient is possibly associated with 2MASXiJ0455502-614521; an unknown-mag IrS ,,,,,z = 0.03,
AT2018est,,CV,Orphan,,,,,Unknown,
AT2018fds,,Other,Possibly associated with 2MASXJ03011882-3704129; J=16.25 mag galaxy,-37,host : o = 19,Blue continuum. No obvious H absorption features,Transient,Unknown,Comments are about getting more images of this one. No ZTF data
AT2018fdx,,CV,Orphan,,,,,Unknown,
AT2018fed,,CV,,,,,,,
AT2018ffs,ZTF18ablwafp,SLSN-I,,,,,,,
AT2018fmt,ZTF18abqbuaj,SNIbn,GALEXASCJ012100.76-135145.0,,,,,z = 0.055,
AT2018fpk,ZTF18abqcsdq,CV,Probably associated with The transient is possibly associated with 95582904137683197,,,,,Unknown,
AT2018fqm,,SNII,,,,,,,
AT2018fri,,CV,,,,,,,
AT2018fvx,ZTF18acrwkxw,SNII,,,,,,,
AT2018fwv,,Varstar,,,,,,,
AT2018fzp,ZTF18abthaii,Unknown,Clearly visible galaxy at coordinates : 2MASXJ02434446-1235055,-12.58,"peak : -20.95 , host : r = 19.55",None,Plentiful data. ZTF : https://lasair.roe.ac.uk/object/ZTF18abthaii/,z = 0.049,Latest comment is a request for another spectrum
AT2018gex,,SNII,,,,,,,
AT2018gfx,ZTF18abtswjk,SNIIn,,,,,,,
AT2018giu,,SNIc-BL,,,,,,,
AT2018gjv,ZTF18abvzdvj,SNII,,,,,,,
